GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: DTWTest
InfoText: This data contains some DTW timeseries data
NumDimensions: 2
TotalNumTrainingExamples: 16
NumberOfClasses: 1
ClassIDsAndCounters: 
5	16
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.0814558	0.0017331
0.0710572	0.0017331
0.0710572	0
0.109185	0.00866551
0.209705	0.0381282
0.32409	0.0901213
0.39688	0.143847
0.405546	0.194107
0.350087	0.244367
0.2513	0.268631
0.10052	0.285962
0.00519931	0.318891
0	0.37435
0.0571924	0.459272
0.17331	0.538995
0.298094	0.57539
0.429809	0.584055
0.499133	0.596187
0.464471	0.62565
0.310225	0.662045
0.152513	0.674177
0.0658579	0.705373
0.117851	0.760832
0.365685	0.804159
0.610052	0.82669
0.774697	0.828423
0.913345	0.814558
0.984402	0.792028
1	0.781629
0.960139	0.779896
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.132867	0
0.135198	0
0.144522	0.002331
0.181818	0.011655
0.254079	0.020979
0.342657	0.0582751
0.440559	0.102564
0.508159	0.151515
0.51049	0.205128
0.426573	0.254079
0.291375	0.277389
0.144522	0.296037
0.104895	0.331002
0.123543	0.403263
0.223776	0.484848
0.365967	0.566434
0.512821	0.608392
0.60373	0.624709
0.568765	0.638695
0.456876	0.662005
0.310023	0.678322
0.177156	0.685315
0.0675991	0.713287
0	0.769231
0.004662	0.841492
0.111888	0.909091
0.284382	0.972028
0.517483	0.997669
0.69697	1
0.736597	0.988345
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.00621118	0
0.00414079	0
0.010352	0.00207039
0.0269151	0.00414079
0.0786749	0.0144928
0.186335	0.0517598
0.293996	0.0910973
0.3706	0.138716
0.409938	0.196687
0.389234	0.277433
0.285714	0.343685
0.113872	0.378882
0.00207039	0.401656
0	0.438923
0.0559006	0.503106
0.120083	0.592133
0.236025	0.660455
0.389234	0.6853
0.509317	0.689441
0.538302	0.695652
0.484472	0.706004
0.378882	0.73913
0.252588	0.780538
0.111801	0.811594
0.0124224	0.84265
0.0144928	0.89648
0.163561	0.956522
0.416149	0.987578
0.637681	1
0.813665	1
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.248175	0.0218978
0.243309	0.0121655
0.265207	0
0.3309	0.0145985
0.447689	0.0583942
0.530414	0.0973236
0.49635	0.13382
0.364964	0.150852
0.206813	0.172749
0.107056	0.226277
0.0243309	0.274939
0	0.3382
0.080292	0.420925
0.233577	0.486618
0.40146	0.545012
0.547445	0.56691
0.639903	0.581509
0.639903	0.608273
0.552311	0.649635
0.413625	0.688564
0.245742	0.715328
0.126521	0.742092
0.0754258	0.783455
0.0851582	0.849148
